date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 21474836489
2010-12-31 | 5
2011-01-01 | 10
2011-01-02 | 0.5
2011-01-04 | 4
2011-01-10 | 2
2013-01-01 | 1
2011-01-03 | 0
2011-01-03 | 1000
2011-01-03 | 1001
2009-01-04 | 1

2012-02-29 | 42
2019-02-29 | 2
2011-11-31 | 3
2011-13-10 | 4
2011-00-10 | 5
2011-12-00 | 6
2011-01-03 | -42
2011-01-03 | -0.1
2011-01-03 | 1001.0
2011-01-03 | 1000000
2011-01-03 | abc
2011-01-03 | 5abc
2011-01-03 | 1e2
2011-01-03 | +42
2011-01-03 | 0.0
2011-01-03 | 0.0000001
2011-01-03 | 1,5
2011-01-03 | NaN
2011-01-03 | 3 | extra
2011-01-03|3
2011-01-03 |3
2011-01-03| 3
2011-01-03 3
| 3
2011-01-03 |
   
2011/01/03 | 7
20110103 | 8
2011-1-03 | 9
2011-01-3 | 10
2008-12-31 | 11
2009-01-02 | 12
   2011-01-07 | 5   

2012-02-29 | 42
2019-02-29 | 2
2011-11-31 | 3
2011-13-10 | 4
2011-00-10 | 5
2011-12-00 | 6
2011-01-03 | -42
2011-01-03 | -0.1
2011-01-03 | 1001.0
2011-01-03 | 1000000
2011-01-03 | abc
2011-01-03 | 5abc
2011-01-03 | 1e2
2011-01-03 | +42
2011-01-03 | 0.0
2011-01-03 | 0.0000001
2011-01-03 | 1,5
2011-01-03 | NaN
2011-01-03 | 3 | extra
2011-01-03|3
2011-01-03 |3
2011-01-03| 3
2011-01-03 3
| 3
2011-01-03 |
   
2011/01/03 | 7
20110103 | 8
2011-1-03 | 9
2011-01-3 | 10
2008-12-31 | 11
2009-01-02 | 12
   2011-01-07 | 5   
